ID,Sport,League,Home,Away,Time,Odds Count
american_football:49ers:seahawks:20260118,american_football,NFL,49ers,Seahawks,2026-01-18 01:00:00,8
american_football:bills:broncos:20260117,american_football,NFL,Bills,Broncos,2026-01-17 21:30:00,4
american_football:buccaneers:dolphins:20251228,american_football,NFL,Buccaneers,Dolphins,2025-12-28 18:00:00,2
american_football:colts:texans:20260104,american_football,NFL,Colts,Texans,2026-01-04 18:00:00,2
american_football:miami:indiana:20260120,american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,8
american_football:rams:bears:20260118,american_football,NFL,Rams,Bears,2026-01-18 23:30:00,48
american_football:texans:patriots:20260118,american_football,NFL,Texans,Patriots,2026-01-18 20:00:00,48
basketball:aek:karditsas:20260121,basketball,Basketball CL,AEK,AS Karditsas,2026-01-21 17:00:00,2
basketball:air force falcons:unlv runnin rebels w:20260121,basketball,College Women's Basketball,Air Force Falcons,UNLV Runnin' Rebels (W),2026-01-21 05:00:00,2
basketball:akron zips:bowling green falcons:20260110,basketball,College Basketball,Akron Zips,Bowling Green Falcons,2026-01-10 19:00:00,2
basketball:alabama am bulldogs:alabama state hornets w:20260119,basketball,College Women's Basketball,Alabama A&M Bulldogs,Alabama State Hornets (W),2026-01-19 20:00:00,2
basketball:alabama am bulldogs:alabama state hornets:20260119,basketball,College Basketball,Alabama A&M Bulldogs,Alabama State Hornets,2026-01-19 22:00:00,2
basketball:alabama am bulldogs:arkansaspine bluff golden lions:20260104,basketball,College Basketball,Alabama A&M Bulldogs,Arkansas-Pine Bluff Golden Lions,2026-01-04 05:00:00,2
basketball:alabama state hornets:alabama am bulldogs:20260117,basketball,College Basketball,Alabama State Hornets,Alabama A&M Bulldogs,2026-01-17 05:00:00,2
basketball:american eagles:army black knights:20260118,basketball,College Basketball,American Eagles,Army Black Knights,2026-01-18 18:00:00,6
basketball:amici pallacanestro udinese:pallacanestro reggiana:20260118,basketball,Basketball Serie A,Amici Pallacanestro Udinese,Pallacanestro Reggiana,2026-01-18 17:00:00,2
basketball:arizona state sun devils:houston cougars:20260118,basketball,College Basketball,Arizona State Sun Devils,Houston Cougars,2026-01-18 23:30:00,6
basketball:arkansaspine bluff golden lions:texas southern tigers:20260111,basketball,College Basketball,Arkansas-Pine Bluff Golden Lions,Texas Southern Tigers,2026-01-11 05:00:00,2
basketball:asvel lyonvilleurbanne:le portel:20260118,basketball,French Pro A,ASVEL Lyon-Villeurbanne,Le Portel,2026-01-18 15:30:00,2
