ID,Sport,League,Home,Away,Time,Odds Count
football:1976 phoenix:caledonia aia:20260121,football,TT Premier Football League,1976 Phoenix FC,Caledonia AIA,2026-01-21 22:00:00,77
football:2 de mayo:alianza lima:20260204,football,Copa Libertadores,2 de Mayo,Alianza Lima,2026-02-04 15:00:00,123
football:2 de mayo:sportivo luqueño:20260123,football,Primera Paraguay,2 de Mayo,Sportivo Luqueño,2026-01-23 23:15:00,144
football:76 igdir belediyespor:sakaryaspor:20260119,football,1. Lig,76 Igdir Belediyespor,Sakaryaspor,2026-01-19 11:30:00,69
football:aarhus:odense:20260206,football,Danish Superliga,Aarhus GF,Odense BK,2026-02-06 18:00:00,161
football:aberdeen:livingston:20260124,football,Scottish Premiership,Aberdeen,Livingston,2026-01-24 15:00:00,156
football:aberdeen:raith rovers:20260118,football,Scottish Cup,Aberdeen,Raith Rovers,2026-01-18 14:30:00,118
football:ac milan:lecce:20260118,football,Serie A,AC Milan,US Lecce,2026-01-18 19:45:00,67
football:academia puerto cabello:monagas:20260303,football,Copa Sudamericana,Academia Puerto Cabello,Monagas SC,2026-03-03 15:00:00,114
football:académica coimbra:amora:20260118,football,Liga 3,Académica Coimbra,Amora,2026-01-18 17:00:00,69
football:ad cariari:ad municipal santa ana:20260118,football,Liga de Ascenso,AD Cariari,AD Municipal Santa Ana,2026-01-18 19:00:00,73
football:ad san carlos:san jose:20260119,football,Primera Division Costa Rica,AD San Carlos,Sporting San Jose FC,2026-01-19 01:00:00,113
football:aek aten:panathinaikos:20260118,football,Super League,AEK Aten,Panathinaikos,2026-01-18 19:00:00,116
football:aek larnaca:ypsonas:20260118,football,1st Division,AEK Larnaca,Ypsonas FC,2026-01-18 15:00:00,71
football:aguilas doradas rionegro:deportivo pasto:20260125,football,Liga Dimayor,Aguilas Doradas Rionegro,Deportivo Pasto,2026-01-25 21:00:00,113
football:airdrieonians:ross county:20260124,football,Championship,Airdrieonians,Ross County,2026-01-24 15:00:00,121
football:aj auxerre:paris saint-germain:20260123,football,Ligue 1,AJ Auxerre,Paris Saint-Germain FC,2026-01-23 19:00:00,69
football:ajax:volendam:20260124,football,Eredivisie,AFC Ajax,FC Volendam,2026-01-24 15:30:00,55
football:ajman club:al dhafra uae:20260119,football,Arabian Gulf League,Ajman Club,Al Dhafra (UAE),2026-01-19 13:05:00,28
football:al ahli jeddah:al khaleej saihat:20260120,football,Professional League,Al Ahli Jeddah,Al Khaleej Saihat,2026-01-20 17:30:00,63
football:al fateh:alkholood:20260120,football,Professional League,Al Fateh,Al-Kholood,2026-01-20 17:30:00,149
football:al hazem:al qadisiya:20260118,football,Professional League,Al Hazem,Al Qadisiya,2026-01-18 15:15:00,187
football:al mosul:al karma:20260118,football,Premier League,Al Mosul SC,AL Karma,2026-01-18 14:30:00,68
football:al najaf:algharraf:20260118,football,Premier League,Al Najaf,Al-Gharraf SC,2026-01-18 16:30:00,63
football:al riyadh:al taawon buraidah:20260118,football,Professional League,Al Riyadh,Al Taawon Buraidah,2026-01-18 17:30:00,177
football:al shabab:al najma ksa:20260120,football,Professional League,Al Shabab,Al Najma (KSA),2026-01-20 15:05:00,167
football:al shabab:al riyadh:20260222,football,Professional League,Al Shabab,Al Riyadh,2026-02-22 16:15:00,175
football:alanyaspor:fenerbahçe:20260118,football,Turkish Super Lig,Alanyaspor,Fenerbahçe SK,2026-01-18 17:00:00,151
football:albacete balompié:cadiz:20260118,football,La Liga 2,Albacete Balompié,Cadiz,2026-01-18 17:30:00,143
football:aldosivi:defensa y justicia:20260122,football,Liga Profesional Argentina,Aldosivi,Defensa y Justicia,2026-01-22 20:00:00,151
football:alianza atletico:club deportivo garcilaso:20260303,football,Copa Sudamericana,Alianza Atletico,Club Deportivo Garcilaso,2026-03-03 15:00:00,114
football:alianza atletico:cusco:20260201,football,Liga 1,Alianza Atletico,Cusco FC,2026-02-01 20:15:00,154
football:almere city:de graafschap:20260118,football,Eerste Divisie,Almere City,De Graafschap,2026-01-18 13:30:00,168
football:amiens:stade lavallois:20260123,football,Ligue 2,Amiens,Stade Lavallois,2026-01-23 19:00:00,117
football:américa de cali:atlético bucaramanga:20260303,football,Copa Sudamericana,América de Cali,Atlético Bucaramanga,2026-03-03 15:00:00,114
football:américamg:atlético mineiromg:20260122,football,Mineiro,América-MG,Atlético Mineiro-MG,2026-01-22 00:30:00,186
football:annecy:clermont:20260123,football,Ligue 2,Annecy FC,Clermont,2026-01-23 19:00:00,115
football:aparecidensego:inhumasgo:20260118,football,Goiano,Aparecidense-GO,Inhumas-GO,2026-01-18 19:00:00,110
football:apollon limassol:apoel nicosia:20260118,football,1st Division,Apollon Limassol,Apoel Nicosia,2026-01-18 17:00:00,28
football:arbroath:greenock morton:20260123,football,Championship,Arbroath,Greenock Morton,2026-01-23 19:45:00,117
football:argentina bolec:france elmagico:20260118,football,eSports Battle (2x6 min),Argentina (Bolec),France (Elmagico),2026-01-18 14:06:00,26
football:argentina bolec:tyskland maslja:20260118,football,eSports Battle (2x6 min),Argentina (Bolec),Tyskland (Maslja),2026-01-18 14:42:00,26
football:argentina:algeriet:20260616,football,VM 2026,Argentina,Algeriet,2026-06-16 18:00:00,145
football:argentinos jrs:club ferrocarril midland:20260122,football,Copa Argentina,Argentinos Jrs,Club Ferrocarril Midland,2026-01-22 00:15:00,112
football:argentinos jrs:sarmiento:20260126,football,Liga Profesional Argentina,Argentinos Jrs,Sarmiento,2026-01-26 00:00:00,46
football:arminia bielefeld:holstein kiel:20260123,football,2. Bundesliga,Arminia Bielefeld,Holstein Kiel,2026-01-23 17:30:00,158
football:arouca:lissabon:20260124,football,Primeira Liga,Arouca,Sporting Lissabon,2026-01-24 18:00:00,153
football:arsenal d:aston villa d:20260118,football,FA-cupen (d),Arsenal (d),Aston Villa (d),2026-01-18 14:00:00,69
football:arsenal dor1an:atleti og:20260118,football,Esports Battle (2x4min),Arsenal (dor1an),Atleti (OG),2026-01-18 14:16:00,28
football:arsenal dor1an:b dortmund tonexo:20260118,football,Esports Battle (2x4min),Arsenal (dor1an),B Dortmund (tonexo),2026-01-18 13:04:00,26
football:arsenal dor1an:juventus mko1919:20260118,football,Esports Battle (2x4min),Arsenal (dor1an),Juventus (mko1919),2026-01-18 13:52:00,28
football:arsenal dor1an:man city hrk:20260118,football,Esports Battle (2x4min),Arsenal (dor1an),Man City (hrk),2026-01-18 13:28:00,28
football:arsenal:chelsea:20260203,football,EFL Cup,Arsenal,Chelsea,2026-02-03 20:00:00,198
football:arsenal:wigan athletic:20260214,football,FA-cupen,Arsenal,Wigan Athletic,2026-02-14 15:00:00,3
football:arzignano valchiampo:vicenza:20260118,football,Serie C Girone A,Arzignano Valchiampo,Vicenza,2026-01-18 13:30:00,16
football:asm oran:témouchent:20260120,football,Ligue 2,ASM Oran,Témouchent,2026-01-20 13:00:00,16
football:asteras tripolis:aek aten:20260124,football,Super League,Asteras Tripolis,AEK Aten,2026-01-24 17:30:00,111
football:aston villa d:manchester united d:20260125,football,Super League - Damer,Aston Villa (d),Manchester United (d),2026-01-25 11:55:00,122
football:aston villa:everton:20260118,football,Premier League,Aston Villa FC,Everton FC,2026-01-18 16:30:00,211
football:aston villa:newcastle:20260214,football,FA-cupen,Aston Villa,Newcastle United,2026-02-14 15:00:00,3
football:atalanta:bilbao:20260121,football,Champions League,Atalanta,Athletic Bilbao,2026-01-21 20:00:00,62
