Sport,League,Home Team,Away Team,Start Time,Market,Outcome,Odds,Last Updated
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,miami_vs._indiana,home,3.922,2026-01-19 11:52:46.416117
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,miami_vs._indiana,away,1.342,2026-01-19 11:52:46.416653
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,over_under,over,2.062,2026-01-19 11:52:46.423602
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,over_under,under,1.942,2026-01-19 11:52:46.424042
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,spread,away,2.128,2026-01-19 11:52:46.422562
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,spread,home,1.887,2026-01-19 11:52:46.423131
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,miami_vs._indiana:_1h_moneylin,home,3.175,2026-01-19 11:52:46.420924
american_football,College Football,Miami,Indiana,2026-01-20 00:30:00,miami_vs._indiana:_1h_moneylin,away,1.460,2026-01-19 11:52:46.422158
american_football,NFL,Patriots,Broncos,2026-01-25 20:00:00,patriots_vs._broncos,home,1.439,2026-01-20 08:31:38.960754
american_football,NFL,Patriots,Broncos,2026-01-25 20:00:00,patriots_vs._broncos,away,3.279,2026-01-20 08:31:38.961347
american_football,NFL,Rams,Seahawks,2026-01-25 23:30:00,rams_vs._seahawks,home,2.381,2026-01-20 08:31:38.962428
american_football,NFL,Rams,Seahawks,2026-01-25 23:30:00,rams_vs._seahawks,away,1.724,2026-01-20 08:31:38.962898
basketball,College Basketball,South Carolina Gamecocks,California Baptist Lancers,2025-11-04 03:30:00,south_carolina_gamecocks_vs._c,home,2.000,2026-01-20 08:31:40.773995
basketball,College Basketball,South Carolina Gamecocks,California Baptist Lancers,2025-11-04 03:30:00,south_carolina_gamecocks_vs._c,away,2.000,2026-01-20 08:31:40.774522
basketball,College Women's Basketball,Fulton-Montgomery Raiders,Western Illinois Leathernecks (W),2025-11-05 01:00:00,fulton-montgomery_raiders_vs._,home,2.597,2026-01-20 08:31:42.483812
basketball,College Women's Basketball,Fulton-Montgomery Raiders,Western Illinois Leathernecks (W),2025-11-05 01:00:00,fulton-montgomery_raiders_vs._,western illinois lea,1.626,2026-01-20 08:31:42.484553
basketball,College Women's Basketball,Colorado State Rams,Saint Mary's Gaels (W),2025-11-08 00:00:00,colorado_state_rams_vs._saint_,home,2.020,2026-01-20 08:31:42.485394
basketball,College Women's Basketball,Colorado State Rams,Saint Mary's Gaels (W),2025-11-08 00:00:00,colorado_state_rams_vs._saint_,saint mary's gaels,1.980,2026-01-20 08:31:42.485823
basketball,College Basketball,Roberts Wesleyan Redhawks,LIU Sharks,2025-11-08 21:00:00,roberts_wesleyan_redhawks_vs._,home,2.439,2026-01-20 08:31:40.775275
basketball,College Basketball,Roberts Wesleyan Redhawks,LIU Sharks,2025-11-08 21:00:00,roberts_wesleyan_redhawks_vs._,away,1.695,2026-01-20 08:31:40.775733
basketball,College Basketball,Penn State Nittany Lions,Akron Zips,2025-11-12 05:00:00,penn_state_nittany_lions_vs._a,home,2.564,2026-01-20 08:31:40.776935
basketball,College Basketball,Penn State Nittany Lions,Akron Zips,2025-11-12 05:00:00,penn_state_nittany_lions_vs._a,away,1.639,2026-01-20 08:31:40.777482
basketball,College Basketball,Virginia Cavaliers,VMI Keydets,2025-11-12 23:00:00,virginia_cavaliers_vs._vmi_key,home,2.174,2026-01-20 08:31:40.778622
basketball,College Basketball,Virginia Cavaliers,VMI Keydets,2025-11-12 23:00:00,virginia_cavaliers_vs._vmi_key,away,1.852,2026-01-20 08:31:40.779166
basketball,College Basketball,Mid-America Christian Evangels,Campbell Fighting Camels,2025-11-14 00:00:00,mid-america_christian_evangels,home,2.000,2026-01-20 08:31:40.780106
basketball,College Basketball,Mid-America Christian Evangels,Campbell Fighting Camels,2025-11-14 00:00:00,mid-america_christian_evangels,away,2.000,2026-01-20 08:31:40.780598
basketball,College Women's Basketball,Central Baptist College Mustangs,Louisiana-Monroe Warhawks (W),2025-11-15 00:00:00,central_baptist_college_mustan,home,2.000,2026-01-20 08:31:42.486539
basketball,College Women's Basketball,Central Baptist College Mustangs,Louisiana-Monroe Warhawks (W),2025-11-15 00:00:00,central_baptist_college_mustan,louisiana-monroe war,2.000,2026-01-20 08:31:42.486993
basketball,College Basketball,Saint Joseph's Hawks,Syracuse Orange,2025-11-22 05:00:00,saint_joseph's_hawks_vs._syrac,home,3.922,2026-01-20 08:31:40.781390
basketball,College Basketball,Saint Joseph's Hawks,Syracuse Orange,2025-11-22 05:00:00,saint_joseph's_hawks_vs._syrac,away,1.342,2026-01-20 08:31:40.781826
basketball,College Basketball,Georgia College & State Bobcats,South Florida Bulls,2025-11-22 05:00:00,georgia_college_&_state_bobcat,home,1.887,2026-01-20 08:31:40.782629
basketball,College Basketball,Georgia College & State Bobcats,South Florida Bulls,2025-11-22 05:00:00,georgia_college_&_state_bobcat,away,2.128,2026-01-20 08:31:40.783122
basketball,College Basketball,Xavier Musketeers,Clemson Tigers,2025-11-23 05:00:00,xavier_musketeers_vs._clemson_,home,1.942,2026-01-20 08:31:40.786689
basketball,College Basketball,Xavier Musketeers,Clemson Tigers,2025-11-23 05:00:00,xavier_musketeers_vs._clemson_,away,2.062,2026-01-20 08:31:40.787155
basketball,College Basketball,Boston College Eagles,Utah State Aggies,2025-11-23 05:00:00,boston_college_eagles_vs._utah,home,2.000,2026-01-20 08:31:40.785379
basketball,College Basketball,Boston College Eagles,Utah State Aggies,2025-11-23 05:00:00,boston_college_eagles_vs._utah,away,2.000,2026-01-20 08:31:40.785855
basketball,College Basketball,Penn State-Shenango Nittany Lions,St. Francis (PA) Red Flash,2025-11-23 05:00:00,penn_state-shenango_nittany_li,home,2.083,2026-01-20 08:31:40.783816
basketball,College Basketball,Penn State-Shenango Nittany Lions,St. Francis (PA) Red Flash,2025-11-23 05:00:00,penn_state-shenango_nittany_li,away,1.923,2026-01-20 08:31:40.784337
basketball,College Women's Basketball,Austin Peay Governors,Southern Illinois Salukis (W),2025-11-23 20:00:00,austin_peay_governors_vs._sout,home,2.128,2026-01-20 08:31:42.487667
basketball,College Women's Basketball,Austin Peay Governors,Southern Illinois Salukis (W),2025-11-23 20:00:00,austin_peay_governors_vs._sout,southern illinois sa,1.887,2026-01-20 08:31:42.488118
basketball,College Basketball,Southern Miss Golden Eagles,Prairie View A&M Panthers,2025-11-24 05:00:00,southern_miss_golden_eagles_vs,home,2.000,2026-01-20 08:31:40.787801
basketball,College Basketball,Southern Miss Golden Eagles,Prairie View A&M Panthers,2025-11-24 05:00:00,southern_miss_golden_eagles_vs,away,2.000,2026-01-20 08:31:40.788214
basketball,College Basketball,South Carolina State Bulldogs,South Dakota Coyotes,2025-11-24 19:00:00,south_carolina_state_bulldogs_,home,4.444,2026-01-20 08:31:40.788868
basketball,College Basketball,South Carolina State Bulldogs,South Dakota Coyotes,2025-11-24 19:00:00,south_carolina_state_bulldogs_,away,1.290,2026-01-20 08:31:40.789294
basketball,College Women's Basketball,Louisiana-Monroe Warhawks,Clemson Tigers (W),2025-11-26 00:00:00,louisiana-monroe_warhawks_vs._,home,1.980,2026-01-20 08:31:42.494382
